horizon,reservation_wages,pr_ext,periods_ui_compensation,length_extension,true_pr_ext
1,0.8882163869528117,0.4263157894736842,10,25,no
2,0.898248825617471,0.4263157894736842,10,25,no
3,0.9032174947221476,0.4263157894736842,10,25,no
4,0.9057297051654161,0.4263157894736842,10,25,no
5,0.9070311141545483,0.4263157894736842,10,25,no
6,0.9077283681133361,0.4263157894736842,10,25,no
7,0.9081201015831271,0.4263157894736842,10,25,no
8,0.9083544322674532,0.4263157894736842,10,25,no
9,0.9085053703227941,0.4263157894736842,10,25,no
10,0.9086102617267631,0.4263157894736842,10,25,no
0,0.8687460746615608,0.4473684210526315,10,25,no
1,0.8895105374714724,0.4473684210526315,10,25,no
2,0.8991973839529366,0.4473684210526315,10,25,no
3,0.9038346509991991,0.4473684210526315,10,25,no
4,0.9061061529530354,0.4473684210526315,10,25,no
5,0.907251523057752,0.4473684210526315,10,25,no
6,0.9078537997753275,0.4473684210526315,10,25,no
7,0.908190007053574,0.4473684210526315,10,25,no
8,0.9083927742498622,0.4473684210526315,10,25,no
9,0.9085261370345918,0.4473684210526315,10,25,no
10,0.9086213955994122,0.4473684210526315,10,25,no
0,0.8699615802506672,0.46842105263157896,10,25,no
1,0.8907260430605788,0.46842105263157896,10,25,no
2,0.9000653977902793,0.46842105263157896,10,25,no
3,0.9043815502323076,0.46842105263157896,10,25,no
4,0.9064283998851226,0.46842105263157896,10,25,no
5,0.9074335513088552,0.46842105263157896,10,25,no
6,0.907953669832211,0.46842105263157896,10,25,no
7,0.9082436452541309,0.46842105263157896,10,25,no
8,0.9084211180375483,0.46842105263157896,10,25,no
9,0.908540924611294,0.46842105263157896,10,25,no
10,0.9086290316995173,0.46842105263157896,10,25,no
0,0.8711051345675014,0.4894736842105263,10,25,no
1,0.8918695973774129,0.4894736842105263,10,25,no
2,0.9008597261782098,0.4894736842105263,10,25,no
3,0.9048653834481268,0.4894736842105263,10,25,no
4,0.9067033355404184,0.4894736842105263,10,25,no
5,0.9075831425202232,0.4894736842105263,10,25,no
6,0.9080326711594939,0.4894736842105263,10,25,no
7,0.908284470788759,0.4894736842105263,10,25,no
8,0.9084418703665822,0.4894736842105263,10,25,no
9,0.9085513379024457,0.4894736842105263,10,25,no
10,0.9086342029831176,0.4894736842105263,10,25,no
0,0.8716518253546457,0.5,10,25,yes
1,0.8924162881645572,0.5,10,25,yes
2,0.90123120039165,0.5,10,25,yes
3,0.9050856858532903,0.5,10,25,yes
4,0.9068249873668732,0.5,10,25,yes
5,0.9076474002077701,0.5,10,25,yes
6,0.9080655962145147,0.5,10,25,yes
7,0.9083009724026525,0.5,10,25,yes
8,0.908450003179249,0.5,10,25,yes
9,0.9085552938053256,0.5,10,25,yes
10,0.9086361069543043,0.5,10,25,yes
0,0.8721827220275983,0.5105263157894737,10,25,no
1,0.8929471848375099,0.5105263157894737,10,25,no
2,0.9015865009564101,0.5105263157894737,10,25,no
3,0.9052925774576829,0.5105263157894737,10,25,no
4,0.9069370289289358,0.5105263157894737,10,25,no
5,0.9077054056694731,0.5105263157894737,10,25,no
6,0.9080947177969587,0.5105263157894737,10,25,no
7,0.9083152704962059,0.5105263157894737,10,25,no
8,0.9084569056580961,0.5105263157894737,10,25,no
9,0.9085585822412541,0.5105263157894737,10,25,no
10,0.908637657058426,0.5105263157894737,10,25,no
0,0.8731997052931063,0.531578947368421,10,25,no
1,0.8939641681030179,0.531578947368421,10,25,no
