horizon,reservation_wages,length_ext,periods_ui_compensation,length_extension,pr_ext,true_length_ext
0,0.8722909056670164,,10,29,0.5,no
1,0.8930553684769279,,10,29,0.5,no
2,0.9018250671291298,,10,29,0.5,no
3,0.9056184870127364,,10,29,0.5,no
4,0.907294372722762,,10,29,0.5,no
5,0.9080569405486036,,10,29,0.5,no
6,0.9084210947312963,,10,29,0.5,no
7,0.9086087316978038,,10,29,0.5,no
8,0.9087160652626484,,10,29,0.5,no
9,0.9087851483156371,,10,29,0.5,no
10,0.9088346149333282,,10,29,0.5,no
0,0.8723998261085508,,10,30,0.5,no
1,0.8931642889184623,,10,30,0.5,no
2,0.9019263108957176,,10,30,0.5,no
3,0.9057093514611082,,10,30,0.5,no
4,0.90737444880416,,10,30,0.5,no
5,0.908126828209035,,10,30,0.5,no
6,0.9084817762533501,,10,30,0.5,no
7,0.9086612764985491,,10,30,0.5,no
8,0.9087614999992535,,10,30,0.5,no
9,0.9088244067277601,,10,30,0.5,no
10,0.9088685244904133,,10,30,0.5,no
0,0.872493811604374,,10,31,0.5,no
1,0.8932582744142854,,10,31,0.5,no
2,0.9020136791604698,,10,31,0.5,no
3,0.9057877702204301,,10,31,0.5,no
4,0.9074435631143684,,10,31,0.5,no
5,0.9081871537329661,,10,31,0.5,no
6,0.9085341589985708,,10,31,0.5,no
7,0.9087066381308295,,10,31,0.5,no
8,0.9088007256745186,,10,31,0.5,no
9,0.9088583017119991,,10,31,0.5,no
10,0.9088978025534445,,10,31,0.5,no
0,0.872574919699195,,10,32,0.5,no
1,0.8933393825091065,,10,32,0.5,no
2,0.902089081770852,,10,32,0.5,no
3,0.9058554544720724,,10,32,0.5,no
4,0.9075032212207532,,10,32,0.5,no
5,0.9082392291996795,,10,32,0.5,no
6,0.9085793807359517,,10,32,0.5,no
7,0.9087458006919478,,10,32,0.5,no
8,0.9088345923930695,,10,32,0.5,no
9,0.9088875671915657,,10,32,0.5,no
10,0.9089230825886526,,10,32,0.5,no
0,0.8726449220072009,,10,33,0.5,no
1,0.8934093848171125,,10,33,0.5,no
2,0.9021541636114866,,10,33,0.5,no
3,0.9059138784703782,,10,33,0.5,no
4,0.9075547206359893,,10,33,0.5,no
5,0.9082841856901688,,10,33,0.5,no
6,0.9086184225250755,,10,33,0.5,no
7,0.9087796129187875,,10,33,0.5,no
8,0.90886383346662,,10,33,0.5,no
9,0.908912836360859,,10,33,0.5,no
10,0.9089449111971883,,10,33,0.5,no
0,0.8727053445742547,,10,34,0.5,no
1,0.8934698073841663,,10,34,0.5,no
2,0.9022103418944483,,10,34,0.5,no
3,0.9059643127673023,,10,34,0.5,no
4,0.9075991798917434,,10,34,0.5,no
5,0.9083229984993372,,10,34,0.5,no
6,0.9086521304833692,,10,34,0.5,no
7,0.9088088069432169,,10,34,0.5,no
8,0.9088890815619133,,10,34,0.5,no
9,0.9089346555864061,,10,34,0.5,no
10,0.908963760083459,,10,34,0.5,no
0,0.8727575023838218,,10,35,0.5,no
1,0.8935219651937332,,10,35,0.5,no
2,0.9022588380671159,,10,35,0.5,no
3,0.9060078526715378,,10,35,0.5,no
4,0.9076375634678895,,10,35,0.5,no
5,0.9083565087744556,,10,35,0.5,no
6,0.908681234483443,,10,35,0.5,no
7,0.9088340144140534,,10,35,0.5,no
8,0.9089108825901137,,10,35,0.5,no
9,0.9089534963700897,,10,35,0.5,no
10,0.9089800363600389,,10,35,0.5,no
